english	telugu
ఇక ఫ్రూట్ ఫ్లైస్ గురించి మీరు విన్నారా?	Have you heard about Foie gras?
సూర్య సినిమాల్లో నటించాలని ఎప్పుడూ అనుకోలేదు.	I never thought of acting in films.
స్థాపించబడిన సాఫ్ట్‍వేర్	Installed Software
నిందితులపై సెక్షన్ 376 మరియు 302ల కింద కేసు నమోదు చేశాం.	A case has been registered under Sections 302 and 376, IPC.
అందులో 10 మంది తీవ్రంగా గాయపడ్డారు.	Of this, 10 people succumbed to the injuries.
నటనకు గాను విమర్శకుల నుంచి ప్రశంసలు పొందింది.	Her acting has been praised by critics.
ఈ విషయంపై బైబిలు దృక్కోణం కొలొస్సయులు 3 :⁠ 9లో “ఒకనితో ఒకడు అబద్ధమాడకుడి ” అని స్పష్టంగా సూచించబడింది.	The Bibles viewpoint on this is clearly indicated at Colossians 3: 9: Do not be lying to one another.
ఈ ప్రమాద దృశ్యాలు సీసీటీవీ ఫుటేజ్‌లో రికార్డ్ అయ్యాయి.	The incident was recorded in the CCTV footage.
గోప్యత పాటించండి	Respect privacy
5లక్షలు సాయం అందజేశారు.	5 lakh would be provided.
"""సూపర్ బౌల్."	Super Bowl.
కరోనా వైరస్ లాక్ డౌన్ కారణంగా అంతటా విద్యాసంస్థలు మూసివేశారు.	Education institutions are closed across the country in the wake of lockdown due to coronavirus outbreak.
ఈ స్మార్ట్ ఫోన్ ఇప్పటికే ఇండోనేషియాలో లాంచ్ అయింది.	The smartphone was recently launched in Indonesia.
ఆస్ట్రేలియా స్టార్ ఆటగాడు డేవిడ్ వార్నర్.	Australian batsman David Warner.
తూ. గో. లో పిడుగుపాటుకు మహిళ మృతి	Woman killed in stampede
నవరాత్రులలో రెండవ రోజున ఈమెను పూజిస్తారు.	On the second day of Navratri, Maa Brahmacharini is worshipped.
కాజల్‌ అగర్వాల్‌ కూడా ఇందులో ఓ పాత్ర చేస్తున్నట్లు చెబుతున్నారు.	The movie also stars Kajal Agarwal in a prominent role.
ఏ పనిచేయలేరు.	It cannot work.
కీల‌క‌ ఇన్ఫ్లమేటరీ మార్కర్స్ ఐఎల్‌-6, టీఎన్ఏ మొదలైనవి ఈ ఔషధం వాడ‌కంతో గణనీయంగా తగ్గినట్లు తెలియ‌జేయ‌డ‌మైంది. తద్వారా కోవిడ్-19 రోగులలో హైపర్-ఇన్ఫ్లమేషన్‌ నివారించవచ్చ‌ని తెలిపింది.	Key inflammatory markers IL-6, TNF etc., were presented to have reduced significantly with the drug thereby preventing hyper- inflammation in COVID-19 patients.
ఈ చిత్రంలో సల్మాన్‌ ఖాన్ సర్కస్‌ ఆర్టిస్టుగా నటిస్తుండటం విశేషం.	Salman Khan will be essaying the role of circus artist in the film.
కొద్దిరోజులు గడిచాయ్ .	A few days ag...
అతన్ని వెంటనే సమీపంలోని ఆసుపత్రికి తరలించినా అప్పటికే అతను మృతి చెందినట్లు వైద్యలు తెలిపారు.	He was immediately rushed to a nearby hospital where doctors declared him dead, the official said.
గుజరాత్ రాష్ట్రంలో కాకుండా, డయులో మద్యం చట్టబద్ధమైనది.	Unlike in Gujarat State, alcohol is legal in Diu.
ఆ తరువాత 2014 ఎన్నికలకు కూడా ఆయన దూరంగా ఉన్నారు.	He had lost 2014 election.
ఇప్పటివరకు ఐపీఎల్‌ టైటిల్‌ అందుకోని ఈ రెండు జట్లు విజయమే లక్ష్యంగా బరిలోకి దిగుతున్నాయి.	Both the teams are yet to win the IPL trophy.
02 లక్షల వరకు తగ్గించింది.	Rs 6.02 crore.
